term,estimate,std.error,statistic,p.value
(Intercept),0.000890391013437663,0.00141545887737285,0.629047602633477,0.529383619539245
dowTue,0.00227796035397566,0.00125185393016379,1.81966945111369,0.068946076634916
dowWed,0.00153168344432395,0.00125286657748413,1.22254314373979,0.221634092126801
dowThu,0.00165026809706898,0.00125188634002526,1.31822518091833,0.187566385503424
dowFri,0.000701800947039721,0.00125188616164289,0.560594859614653,0.575131206267621
dowSat,-0.0000321033696646343,0.00125186496384183,-0.0256444349765271,0.979543284398997
dowSun,-0.0000369249474570189,0.00125185427941904,-0.0294962026044717,0.976471540034066
monthFeb,-0.00152407818849687,0.00166958227986938,-0.912850002586341,0.361422098425282
monthMar,-0.00141548124974686,0.0016291172451252,-0.868863953151563,0.385016929762697
monthApr,0.0000755532159307698,0.00164264361242126,0.0459948922331388,0.963318522207286
monthMay,-0.000344537862614956,0.0016022685336916,-0.215031285561819,0.829762985085496
monthJun,-0.00127284181161023,0.00164264364093373,-0.774873977466414,0.438497936297555
monthJul,0.000275371598125417,0.00162911722381329,0.169031174736986,0.86578775904473
monthAug,-0.00124342540647506,0.00162910331916083,-0.763257549015103,0.445392174309478
monthSep,-0.00111471505379743,0.00164264364167149,-0.678610396995868,0.497456585686397
monthOct,-0.000941272778495518,0.0016291033194101,-0.57778580847552,0.563468245607911
monthNov,-0.000039347627078874,0.00164262936277529,-0.0239540507253532,0.980891446681673
monthDec,-0.00273691213012175,0.00162913114942131,-1.67998268960356,0.0931035694453406
